Scenario,week,New.Confirmed.Cases,New.Deaths
1,1,8,0
1,2,9,2
1,3,7,7
1,4,16,6
1,5,13,7
1,6,12,14
1,7,22,11
1,8,21,16
1,9,24,10
1,10,28,18
1,11,50,23
1,12,53,29
1,13,61,35
1,14,84,56
1,15,106,69
1,16,94,67
1,17,127,78
1,18,152,96
1,19,180,112
1,20,211,136
1,21,243,142
1,22,257,195
1,23,337,188
1,24,359,252
1,25,354,275
1,26,292,289
1,27,238,255
1,28,261,193
1,29,220,196
1,30,206,195
1,31,199,159
1,32,170,153
1,33,175,151
1,34,146,118
1,35,163,137
1,36,156,126
1,37,143,119
1,38,103,108
1,39,92,102
1,40,77,78
1,41,78,69
1,42,58,60
1,43,45,46
1,44,45,39
1,45,34,32
1,46,36,31
1,47,46,32
1,48,41,28
1,49,42,42
1,50,23,32
1,51,38,21
1,52,15,30
1,53,25,18
1,54,27,12
1,55,24,22
1,56,15,20
1,57,19,16
1,58,19,16
1,59,11,11
1,60,11,13
1,61,6,9
1,62,5,6
1,63,2,2
1,64,0,4
2,1,5,1
2,2,5,2
2,3,6,0
2,4,7,8
2,5,11,5
2,6,11,5
2,7,18,11
2,8,14,10
2,9,20,11
2,10,30,15
2,11,32,21
2,12,52,24
2,13,34,37
2,14,52,31
2,15,55,36
2,16,97,37
2,17,86,58
2,18,108,80
2,19,125,78
2,20,146,88
2,21,172,99
2,22,186,127
2,23,210,130
2,24,170,146
2,25,202,142
2,26,199,123
2,27,180,171
2,28,213,136
2,29,205,159
2,30,228,153
2,31,235,157
2,32,236,176
2,33,299,188
2,34,255,206
2,35,310,199
2,36,295,231
2,37,294,230
2,38,301,212
2,39,275,248
2,40,273,208
2,41,256,215
2,42,222,201
2,43,249,183
2,44,174,186
2,45,208,146
2,46,136,151
2,47,126,104
2,48,88,90
2,49,74,82
2,50,69,63
2,51,55,54
2,52,16,38
2,53,11,27
2,54,12,8
2,55,9,9
2,56,8,8
2,57,6,7
2,58,6,8
2,59,2,4
2,60,0,2
2,61,0,1
3,1,4,0
3,2,11,4
3,3,16,6
3,4,21,12
3,5,21,13
3,6,34,24
3,7,54,23
3,8,37,44
3,9,39,39
3,10,40,29
3,11,49,40
3,12,56,35
3,13,80,46
3,14,90,62
3,15,89,70
3,16,113,75
3,17,146,85
3,18,154,103
3,19,207,137
3,20,224,161
3,21,262,162
3,22,264,209
3,23,260,223
3,24,266,209
3,25,290,225
3,26,212,216
3,27,219,204
3,28,155,182
3,29,136,145
3,30,126,122
3,31,98,101
3,32,56,92
3,33,43,46
3,34,36,40
3,35,37,26
3,36,35,35
3,37,29,30
3,38,22,30
3,39,30,15
3,40,15,22
3,41,13,14
3,42,8,11
3,43,12,7
3,44,9,9
3,45,9,8
3,46,8,7
3,47,3,5
3,48,1,6
3,49,0,1
3,50,1,0
3,51,2,1
3,52,0,0
3,53,0,1
4,1,3,0
4,2,4,2
4,3,3,2
4,4,7,4
4,5,4,5
4,6,7,2
4,7,6,6
4,8,6,5
4,9,11,4
4,10,10,11
4,11,21,6
4,12,26,8
4,13,29,23
4,14,41,23
4,15,51,22
4,16,69,35
4,17,75,39
4,18,96,55
4,19,107,51
4,20,125,73
4,21,182,86
4,22,193,98
4,23,267,150
4,24,299,164
4,25,287,204
4,26,331,193
4,27,354,224
4,28,366,223
4,29,379,243
4,30,411,264
4,31,368,275
4,32,367,278
4,33,360,248
4,34,361,225
4,35,391,237
4,36,421,279
4,37,479,304
4,38,481,312
4,39,494,312
